@relation SubsetSum

@attribute ArraySize numeric
@attribute Sum numeric
@attribute runtime numeric

@data
2627,30697,269253
8734,83544,295201
7152,40507,424324
1108,75000,8560
8893,9495,13822
2374,34811,1365624
4463,8229,792331
7975,56013,722488
9367,94937,18285
5950,73734,108613
8355,2533,17833
9525,65507,115785
8007,34178,69037
6646,3482,142260
5032,45887,1028350
4779,52849,910136
4716,56013,46113
3640,91139,231085
9715,35127,59161
4020,87025,458441
6140,76899,368856
665,63292,143961
444,52216,679906
6013,44621,280221
1393,96519,114462
1836,79431,1109869
9937,31646,246374
5855,2533,1092062
7152,48418,22379
8987,62026,244849
602,44304,911368
7152,10127,184058
2532,55064,3888
571,7279,161517
1741,88608,38688
6140,5064,544387
2153,76583,334947
9494,80063,558327
760,49368,202506
1583,91772,795378
9684,75317,188304
254,52216,94005
8829,66140,2840796
7405,23102,1170575
3988,17406,278962
5792,89557,944487
6140,19305,91127
4684,93987,125381
8987,58545,786805
6551,98418,338220
3608,78798,12178
4684,81013,59533
