@relation RSAEncryption

@attribute StringLength numeric
@attribute KeySizeExponent(2^x) numeric
@attribute runtime numeric

@data
17,10,155420
14,10,166782
4,9,74158
14,10,230275
26,10,175833
14,11,309573
6,11,302954
26,9,177690
16,10,171014
20,10,161114
17,10,151804
8,11,333523
2,9,103727
5,11,306922
4,9,64806
15,10,122988
29,10,150595
27,10,285665
5,10,152477
0,9,66599
28,9,73084
3,10,195002
16,9,108603
6,9,158614
12,10,222447
27,9,137843
15,11,311143
16,10,148631
20,10,127355
15,11,311765
2,9,108844
12,11,311506
19,9,234856
18,11,305639
4,11,303622
3,10,124889
3,9,62277
20,11,371028
12,10,157105
14,10,147135
16,10,149321
4,10,160457
30,10,153946
13,9,75813
22,10,155770
9,10,375047
9,10,164503
3,9,217020
11,10,189410
24,9,109133
10,10,157391
18,11,308333
26,10,138413
20,11,322013
5,10,172637
22,11,338352
11,10,154933
19,10,155445
13,10,161075
21,10,232871
3,11,333118
5,11,414239
4,9,113150
13,11,320816
18,10,139200
8,10,164787
27,9,115116
21,10,155488
26,10,218026
2,10,154344
2,9,83816
17,11,307433
13,10,162587
5,10,145531
25,11,305580
22,10,155860
17,11,378222
16,9,75428
1,10,154622
22,10,157988
22,10,130363
23,11,325658
26,9,102113
11,11,516835
21,11,304377
3,10,143318
12,10,117798
2,10,144478
21,11,305193
20,10,150249
6,11,316734
12,9,96020
3,11,313270
4,10,136225
1,11,327109
1,10,163545
1,10,175538
13,10,147322
19,10,150579
11,10,151405
19,11,337341
22,9,102167
10,11,308948
27,9,109277
5,9,145172
0,9,101091
18,10,178469
26,9,115762
15,9,217106
15,11,355267
5,10,125573
26,10,128265
2,9,58821
15,9,101411
12,11,325387
29,9,62364
14,11,306483
23,10,136623
0,10,147642
17,11,305824
29,10,256606
17,10,130791
24,10,140160
24,11,494205
24,10,150963
26,11,516178
24,9,111656
5,10,164130
10,10,148343
15,9,65510
2,10,188538
10,11,324153
19,11,311503
24,9,62742
9,9,61282
10,10,141228
15,9,95056
5,10,160832
13,10,149298
17,9,121973
8,10,216370
22,10,159838
9,10,152641
26,10,191308
12,11,309156
25,11,308465
16,9,113038
11,11,539951
16,10,226876
28,10,149826
18,9,75187
30,10,146139
1,11,327411
7,11,540557
18,11,614755
25,9,105019
1,10,162426
21,10,148147
23,10,148287
5,11,310862
17,9,70025
29,9,59539
27,9,97060
1,10,151307
24,11,302276
22,10,236429
19,10,142551
15,11,302726
11,11,313229
25,9,62991
29,10,144524
23,10,159462
16,11,305515
10,10,143464
24,10,187877
8,11,306874
7,11,356091
5,9,100966
3,11,1315552
16,10,290957
5,10,165105
17,9,109438
17,9,63349
20,10,131026
28,11,316934
7,9,103753
3,10,169837
12,10,157775
24,10,180503
4,9,92541
4,10,151577
24,10,146396
4,11,304070
19,11,306789
12,10,153576
23,9,123729
25,10,200703
17,10,205235
11,10,165377
3,9,132141
14,11,300648
5,11,329396
8,10,200890
19,10,154191
26,10,125728
18,11,380857
6,10,154120
28,10,136416
10,11,302062
25,10,190417
14,10,135188
21,11,309663
2,11,329714
28,11,302134
7,9,134194
22,10,159523
0,10,150943
24,10,125659
12,10,148554
9,9,107153
12,11,300019
29,11,292798
11,11,317355
25,10,185308
15,10,164841
13,10,147565
27,10,214021
28,10,122931
13,11,300739
16,11,309183
6,11,302786
5,10,140021
8,11,674727
23,10,221525
23,11,311498
4,10,243721
25,9,145966
26,11,309571
0,10,235999
6,10,132037
11,10,127964
23,10,174851
27,10,160555
7,10,153548
29,10,148892
8,9,74586
22,10,235507
18,11,301939
28,10,138084
28,11,314940
4,11,349036
